Unnamed: 0,question,answer
3487,i meant are you going to vote for or against the new taxes,against all of them of course
3488,against all of them of course,but we need new taxes to pay for highways schools and prisons
3489,but we need new taxes to pay for highways schools and prisons,weve already voted for new taxes to pay for all that stuff
3490,weve already voted for new taxes to pay for all that stuff,thats true where did that money go
3491,thats true where did that money go,our legislators spent it on firstclass travel all over the world
3492,our legislators spent it on firstclass travel all over the world,they are having a good time with our money
3493,they are having a good time with our money,so when are we going to stop giving them more
3494,have you decided how you are going to vote,do you mean on measures 1 2 and 3
3495,do you mean on measures 1 2 and 3,yes the ones that will improve our schools roads and hospitals
3496,yes the ones that will improve our schools roads and hospitals,you mean the measures that will raise our taxes
3497,you mean the measures that will raise our taxes,but the tv ads say that our taxes will not increase
3498,but the tv ads say that our taxes will not increase,do you believe the tv ads
3499,do you believe the tv ads,i like the one where the fireman tells us why we should vote yes
3500,i like the one where the fireman tells us why we should vote yes,dont believe him whatever the tv ads tell you the opposite is true
3501,dont believe him whatever the tv ads tell you the opposite is true,but the title of measure 1 is better schools at no cost
3502,but the title of measure 1 is better schools at no cost,the title should be better schools at huge cost
3503,the title should be better schools at huge cost,i cant believe that they would lie to us
3504,i cant believe that they would lie to us,of course they liethats what politicians do
3505,i have a stomachache,is it something you ate
3506,is it something you ate,maybe im not sure
3507,maybe im not sure,what did you have for breakfast
3508,what did you have for breakfast,the usual cereal with milk and a banana
3509,the usual cereal with milk and a banana,maybe the milk was bad
3510,maybe the milk was bad,it didnt smell bad
3511,it didnt smell bad,maybe the banana was bad
3512,maybe the banana was bad,no the banana was delicious
3513,no the banana was delicious,maybe you just need to go to the bathroom
3514,maybe you just need to go to the bathroom,no thats not the problem
3515,no thats not the problem,maybe it will go away in a little while
3516,whats this stain,i dont know
3517,i dont know,it looks like blood
3518,it looks like blood,i think my nose was bleeding
3519,i think my nose was bleeding,you should wet your shirt immediately
3520,you should wet your shirt immediately,why
3521,why,because that gets the blood out of the shirt
3522,because that gets the blood out of the shirt,whats a little blood
3523,whats a little blood,your white shirt is ruined
3524,your white shirt is ruined,so ill just buy another one
3525,so ill just buy another one,you can wear this one around the house
3526,you can wear this one around the house,next time ill soak it immediately
3527,my fingers hurt,why do they hurt
3528,why do they hurt,i type too much
3529,i type too much,you should take a break
3530,you should take a break,i need to type to make money
3531,i need to type to make money,but typing is causing you pain
3532,but typing is causing you pain,maybe i should see a doctor
3533,maybe i should see a doctor,doctors are too expensive
3534,doctors are too expensive,he might tell me to rest for a while
3535,he might tell me to rest for a while,he might want to cut you open
3536,he might want to cut you open,he might say im okay
3537,he might say im okay,he might say you have bone cancer
3538,what did the doctor say,he thinks i have too much stress
